,Time,Tron Volume
0,1586476800000,1069726810.3057635
1,1586563200000,1179810214.78009
2,1586649600000,1101729960.9806812
3,1586736000000,1092809787.553104
4,1586822400000,1297978650.3600047
5,1586908800000,1297749008.239287
6,1586995200000,1278330888.116773
7,1587081600000,1535380776.8512223
8,1587168000000,1357117165.0530806
9,1587254400000,1435699764.8636677
10,1587340800000,1344244828.7830582
11,1587427200000,1400759954.721906
12,1587513600000,1334220068.7724853
13,1587600000000,1346847345.1322885
14,1587686400000,1463705582.7729528
15,1587772800000,1624977158.849541
16,1587859200000,1579120151.7766204
17,1587945600000,1490117444.3268948
18,1588032000000,1525174714.6222985
19,1588118400000,1603853811.1034322
20,1588204800000,1822420893.855773
21,1588291200000,1751598144.3965545
22,1588377600000,1696419825.605757
23,1588464000000,1623289442.8672678
24,1588550400000,1685661605.4719584
25,1588636800000,1820539687.4008627
26,1588723200000,1884346854.9568982
27,1588809600000,1650772708.5280051
28,1588896000000,1809428384.182692
29,1588982400000,1794100613.859629
30,1589068800000,1721355759.6113238
31,1589155200000,1805326067.216146
32,1589241600000,1822723853.70222
33,1589328000000,1712073981.0293734
34,1589414400000,1653513474.38037
35,1589500800000,1530414820.572624
36,1589587200000,1403893409.5974622
37,1589673600000,1404243132.3389583
38,1589760000000,1405846453.2992854
39,1589846400000,1416185121.8332872
40,1589932800000,1454254472.0098069
41,1590019200000,1441611486.6782768
42,1590105600000,1379241041.9333508
43,1590192000000,1436058070.366234
44,1590278400000,1389040237.3481112
45,1590364800000,1375780653.716117
46,1590451200000,1379789255.3117566
47,1590537600000,1300413161.6306803
48,1590624000000,1263917725.4886694
49,1590710400000,1338506789.0920548
50,1590796800000,1251015680.1730366
51,1590883200000,1533761388.5189612
52,1590969600000,1587157916.8752189
53,1591056000000,1563515326.7731133
54,1591142400000,1515801957.4549139
55,1591228800000,1483993240.388823
56,1591315200000,1452845364.561306
57,1591401600000,1414671637.7099266
58,1591488000000,1433590232.1516023
59,1591574400000,1703435010.2597275
60,1591660800000,1593155924.274086
61,1591747200000,1443804596.1196523
62,1591833600000,1379925951.841142
63,1591920000000,1405377507.9753437
64,1592006400000,1362327721.856665
65,1592092800000,1302042638.3050818
66,1592179200000,1252357106.0992284
67,1592265600000,1244045342.6377716
68,1592352000000,1132149260.008101
69,1592438400000,1133725979.919312
70,1592524800000,737522933.4452596
71,1592611200000,712929602.1531055
72,1592697600000,826582805.2659985
73,1592784000000,852945088.0875524
74,1592870400000,667510122.3930117
75,1592956800000,702732458.3309191
76,1593043200000,503498966.12450856
77,1593129600000,448186721.8765642
78,1593216000000,475506747.32748395
79,1593302400000,507096448.06275403
80,1593388800000,459006108.0030335
81,1593475200000,646557124.0036312
82,1593561600000,591774929.4516362
83,1593648000000,616158741.6860768
84,1593734400000,462569575.74716055
85,1593820800000,495821952.27512413
86,1593907200000,543274191.5315396
87,1593993600000,554456986.6535307
88,1594080000000,921020217.8182389
89,1594166400000,608457447.4446307
90,1594252800000,660210213.3405523
91,1594339200000,704046055.0161837
92,1594425600000,577405929.4546032
93,1594512000000,512280792.6961057
94,1594598400000,454863886.4483339
95,1594684800000,499360159.02080876
96,1594771200000,461695369.1994364
97,1594857600000,408745006.62645674
98,1594944000000,422135832.36752856
99,1595030400000,349825832.7193402
100,1595116800000,350748248.1430536
101,1595203200000,356489012.2734566
102,1595289600000,351985299.6293183
103,1595376000000,361913726.34976494
104,1595462400000,359711701.3622398
105,1595548800000,403711887.6568023
106,1595635200000,410419748.8654822
107,1595721600000,458963452.5948362
108,1595808000000,480096557.888283
109,1595894400000,596477059.2268931
110,1595980800000,567606423.2718382
111,1596067200000,566405740.287148
112,1596153600000,471886158.5068742
113,1596240000000,477233638.7107514
114,1596326400000,652394215.6353393
115,1596412800000,760171827.0593904
116,1596499200000,557371150.4706995
117,1596585600000,522799353.358761
118,1596672000000,453400938.3560283
119,1596758400000,436133582.20547193
120,1596844800000,804041444.5852821
121,1596931200000,459238572.57973903
122,1597017600000,488076051.4883628
123,1597104000000,649608333.9911917
124,1597190400000,854585599.6183517
125,1597276800000,542145649.4140759
126,1597363200000,785643125.7386789
127,1597449600000,941671557.8557936
128,1597536000000,817497747.813689
129,1597622400000,1048206012.9184842
130,1597708800000,1205602497.4715855
131,1597795200000,1369923734.1154535
132,1597881600000,1284389744.9421294
133,1597968000000,929538066.1449765
134,1598054400000,883933358.5883433
135,1598140800000,894903951.0590583
136,1598227200000,648995674.0787561
137,1598313600000,625236101.8649032
138,1598400000000,689992051.6129872
139,1598486400000,635597340.4005109
140,1598572800000,696363124.0899982
141,1598659200000,620546327.986486
142,1598745600000,612541772.7621024
143,1598832000000,864677654.7657354
144,1598918400000,1063299339.9102694
145,1599004800000,1743975713.632733
146,1599091200000,2943903921.1459293
147,1599177600000,4473930334.5484915
148,1599264000000,3974134939.433115
149,1599350400000,2527204394.2975407
150,1599436800000,2118855129.1330779
151,1599523200000,1608501251.680737
152,1599609600000,2033263260.3556712
153,1599696000000,1469258218.2693024
154,1599782400000,1315955417.4974802
155,1599868800000,1399988509.752815
156,1599955200000,1329738771.9897666
157,1600041600000,1345876744.27392
158,1600128000000,1483336332.591586
159,1600214400000,1554818739.2956004
160,1600300800000,1806748370.6796725
161,1600387200000,1489040218.7174904
162,1600473600000,1749380899.6442592
163,1600560000000,1458536038.1029217
164,1600646400000,1408041909.6265028
165,1600732800000,1682398926.3841693
166,1600819200000,1143586311.2725468
167,1600905600000,1254630581.657882
168,1600992000000,831142491.0264149
169,1601078400000,1225221035.080183
170,1601164800000,1113904299.0548782
171,1601251200000,1127556121.47828
172,1601337600000,1049455071.517816
173,1601424000000,880412927.626059
174,1601510400000,856393920.8574688
175,1601596800000,839075250.1189159
176,1601683200000,950172141.214777
177,1601769600000,1059890000.5960848
178,1601856000000,965646276.3484746
179,1601942400000,926238182.009006
180,1602028800000,982640365.8974334
181,1602115200000,773280902.8088973
182,1602201600000,841222647.9512653
183,1602288000000,910975211.6302116
184,1602374400000,963283977.343217
185,1602460800000,741684564.0350412
186,1602547200000,897401134.3229108
187,1602633600000,791416994.7550426
188,1602720000000,755805045.9544182
189,1602806400000,699495000.9106984
190,1602892800000,704022988.5075
191,1602979200000,539961291.132538
192,1603065600000,539944893.3814775
193,1603152000000,616969107.2912395
194,1603238400000,932476344.5812578
195,1603324800000,716434122.018558
196,1603411200000,713734736.9226853
197,1603497600000,718294813.5695976
198,1603584000000,637848183.284681
199,1603670400000,520935156.8834835
200,1603756800000,745584132.812543
201,1603843200000,678888197.6663495
202,1603929600000,669032283.9751012
203,1604016000000,745303368.9714867
204,1604102400000,704077213.4882835
205,1604188800000,767531006.5801009
206,1604275200000,608682464.0742211
207,1604361600000,700425157.2406024
208,1604448000000,647916560.3783978
209,1604534400000,647211502.9201522
210,1604620800000,758550823.9655175
211,1604707200000,737410152.3058194
212,1604793600000,808437569.8744966
213,1604880000000,597157790.1909573
214,1604966400000,764023160.5813231
215,1605052800000,663760733.7461019
216,1605139200000,670627797.6756346
217,1605225600000,677677494.6364515
218,1605312000000,612834261.675716
219,1605398400000,638371882.3664191
220,1605484800000,657249344.7013028
221,1605571200000,614383770.8345109
222,1605657600000,797296066.210851
223,1605744000000,1061617079.3409582
224,1605830400000,762903574.1132225
225,1605916800000,791787366.1491635
226,1606003200000,1650443139.3555484
227,1606089600000,1569408333.3345134
228,1606176000000,1448663967.412368
229,1606262400000,2569591004.3873634
230,1606348800000,1773571298.8836637
231,1606435200000,1777378516.4762168
232,1606521600000,1098295535.9099233
233,1606608000000,993900866.5510979
234,1606694400000,855564507.3828869
235,1606780800000,1022464009.4714342
236,1606867200000,1325676768.1113565
237,1606953600000,789193124.3054954
238,1607040000000,617035240.3373024
239,1607126400000,749198175.2520218
240,1607212800000,694811657.2650316
241,1607299200000,727691045.2593412
242,1607385600000,587735241.1725231
243,1607472000000,724909048.7368293
244,1607558400000,860881996.8907851
245,1607644800000,601080681.5216411
246,1607731200000,645429632.2155341
247,1607817600000,640076158.3677526
248,1607904000000,569482172.7731882
249,1607990400000,529218623.29512656
250,1608076800000,663257678.3751656
251,1608163200000,726161528.7841566
252,1608249600000,1099974957.6801963
253,1608336000000,842218283.6326222
254,1608422400000,665356128.9342959
255,1608508800000,957919564.8037282
256,1608595200000,883419768.2856585
257,1608681600000,898658205.9749632
258,1608768000000,958132478.8622253
259,1608854400000,994285046.7428832
260,1608940800000,1020924834.7868865
261,1609027200000,856889525.2802724
262,1609113600000,1224461271.3579772
263,1609200000000,970352215.9841713
264,1609286400000,1072270405.2570567
265,1609372800000,1055738424.1298763
266,1609459200000,1231160612.56954
267,1609545600000,741705294.2429444
268,1609632000000,927014804.1889011
269,1609718400000,1345786636.0236819
270,1609804800000,1819580209.4367435
271,1609891200000,1699302025.2275798
272,1609977600000,1606750845.4571185
273,1610064000000,2111753236.2767045
274,1610150400000,1863478582.3775685
275,1610236800000,1810289727.5436811
276,1610323200000,2080692092.2499566
277,1610409600000,1706368167.4987564
278,1610496000000,2105779231.942485
279,1610582400000,1056283724.9934592
280,1610668800000,1255212720.4670877
281,1610755200000,1465077080.3600328
282,1610841600000,1365604384.164025
283,1610928000000,1289872845.2533755
284,1611014400000,1250859936.2378097
285,1611100800000,1158453014.4283664
286,1611187200000,1311358697.3773456
287,1611273600000,1402064859.6066587
288,1611360000000,1658863004.0213392
289,1611446400000,1108680423.3159966
290,1611532800000,1173414463.1238158
291,1611619200000,1394838347.9095826
292,1611705600000,918613915.268727
293,1611792000000,1152845141.2757695
294,1611878400000,811142539.2558234
295,1611964800000,4099687130.7467604
296,1612051200000,1807492084.5349753
297,1612137600000,1697690360.394583
298,1612224000000,1828729618.1711347
299,1612310400000,1441771544.7948482
300,1612396800000,1370963145.1582482
301,1612483200000,1423573702.7482965
302,1612569600000,1757572789.2499528
303,1612656000000,1750414292.3825328
304,1612742400000,1914923368.2643845
305,1612828800000,2602462164.289034
306,1612915200000,3702271397.4244704
307,1613001600000,2808300811.663646
308,1613088000000,3698515502.495559
309,1613174400000,3118131560.618591
310,1613260800000,3040703479.284206
311,1613347200000,2782008918.8074594
312,1613433600000,3074598871.1132617
313,1613520000000,2605251117.9870653
314,1613606400000,2221799069.49825
315,1613692800000,1965989782.6452508
316,1613779200000,3544075050.159017
317,1613865600000,3091361995.56587
318,1613952000000,2460185338.204169
319,1614038400000,2989834129.2028065
320,1614124800000,3153135548.5762
321,1614211200000,2535464673.3935113
322,1614297600000,1565011956.464382
323,1614384000000,2032986783.1613116
324,1614470400000,1548062406.5495691
325,1614556800000,1886197817.1338296
326,1614643200000,1769363639.708738
327,1614729600000,1622187499.3618636
328,1614816000000,1530487828.7970388
329,1614902400000,2918772771.7517905
330,1614988800000,1704853444.590172
331,1615075200000,1396275580.1500142
332,1615161600000,1294495870.6465745
333,1615248000000,1934632838.301213
334,1615334400000,1606042605.3172722
335,1615420800000,1731041155.919351
336,1615507200000,1622587036.0140185
337,1615593600000,1431473955.6632762
338,1615680000000,2226600214.3622656
339,1615766400000,1662498235.2837574
340,1615852800000,1820185186.1436648
341,1615939200000,1825835062.0543375
342,1616025600000,2061959469.882616
343,1616112000000,1323402632.013471
344,1616198400000,1918451831.8820417
345,1616284800000,4096545982.0645423
346,1616371200000,2745171941.0414133
347,1616457600000,2365964283.5974817
348,1616544000000,2249943198.484188
349,1616630400000,2291795691.154855
350,1616716800000,2023640197.6671999
351,1616803200000,3006344290.383141
352,1616889600000,2574076590.7998586
353,1616976000000,1756042466.1314497
354,1617062400000,1588600433.9234376
355,1617148800000,1812529525.6010575
356,1617235200000,9550467604.062836
357,1617321600000,6080759410.958924
358,1617408000000,4108102987.44753
359,1617494400000,8364754397.171346
360,1617580800000,10746448326.912264
361,1617667200000,13018731030.003437
362,1617753600000,9499933826.253841
363,1617840000000,8323619560.720927
364,1617926400000,6225961258.938054
365,1618012800000,3766873571.484107
366,1618099200000,4610974849.047191
367,1618185600000,4159674472.4140906
368,1618272000000,6655337314.752366
369,1618358400000,8761503684.843513
370,1618444800000,7836028056.782906
371,1618531200000,9480469928.789104
372,1618617600000,9455419113.352715
373,1618704000000,8006435350.365983
374,1618790400000,7793973559.437117
375,1618876800000,5502625648.378095
376,1618963200000,5487507101.797301
377,1619049600000,3348606787.3128066
378,1619136000000,4065100549.73193
379,1619222400000,6439040666.4882765
380,1619308800000,3872729872.760127
381,1619395200000,2959774936.5247393
382,1619481600000,3387422014.303728
383,1619568000000,3544189675.6824584
384,1619654400000,2965529888.7503533
385,1619740800000,2200076292.3696833
386,1619827200000,2921212394.3109083
387,1619913600000,2449660680.6830106
388,1620000000000,2286067126.417303
389,1620086400000,3344982552.8960624
390,1620172800000,3626604289.357256
391,1620259200000,6393923763.660873
392,1620345600000,7119194924.347904
393,1620432000000,7091574084.943302
394,1620518400000,3940836121.2205987
395,1620604800000,3761184260.1041455
396,1620691200000,4155042234.5267363
397,1620777600000,5079342795.452479
398,1620864000000,5008302968.057171
399,1620950400000,5729318124.019151
400,1621036800000,3616483294.591083
401,1621123200000,3969253311.213204
402,1621209600000,4277319249.223831
403,1621296000000,3790726129.4715037
404,1621382400000,3077387878.605068
405,1621468800000,5558010289.015034
406,1621555200000,3964987083.17207
407,1621641600000,3473597890.1854167
408,1621728000000,2726741720.5899925
409,1621814400000,3079077370.9779143
410,1621900800000,3539099856.7217827
411,1621987200000,3405261949.8249474
412,1622073600000,3240538719.5072856
413,1622160000000,2510323348.399202
414,1622246400000,2506502475.41026
415,1622332800000,2246914490.781454
416,1622419200000,1766756251.1694498
417,1622505600000,1762007584.056975
418,1622592000000,2101993766.7762778
419,1622678400000,1607975681.1239674
420,1622764800000,1650989955.9727619
421,1622851200000,2109667506.0940192
422,1622937600000,1531313184.9140215
423,1623024000000,1169686561.7840436
424,1623110400000,1281077219.486231
425,1623196800000,2098506228.8237288
426,1623283200000,1667915337.850995
427,1623369600000,1871222076.5551834
428,1623456000000,1479748329.180698
429,1623542400000,1231431562.7092993
430,1623628800000,1158125553.783644
431,1623715200000,1172636330.4448514
432,1623801600000,1114269539.468034
433,1623888000000,1307545917.7911282
434,1623974400000,1293375093.1266484
435,1624060800000,1416155159.511358
436,1624147200000,842854110.3117367
437,1624233600000,1021048179.3700677
438,1624320000000,1534217323.0714822
439,1624406400000,2039916855.3013444
440,1624492800000,1658719741.2670715
441,1624579200000,2182903306.5352497
442,1624665600000,1987226599.314012
443,1624752000000,1490286154.413229
444,1624838400000,1119458879.131111
445,1624924800000,1105633905.932893
446,1625011200000,1567418371.2160378
447,1625097600000,1707007424.5412474
448,1625184000000,1338402260.9222069
449,1625270400000,1141455725.3376849
450,1625356800000,940066905.9314554
451,1625443200000,1072230608.6629705
452,1625529600000,1066816967.8996298
453,1625616000000,905777527.5900065
454,1625702400000,920669464.2998337
455,1625788800000,1115885436.4321842
456,1625875200000,888427762.0962375
457,1625961600000,794567260.314042
458,1626048000000,736852906.0243915
459,1626134400000,803133606.4786247
460,1626220800000,749624464.8827816
461,1626307200000,915703129.3411262
462,1626393600000,950007952.06841
463,1626480000000,889507565.874221
464,1626566400000,795005358.722869
465,1626652800000,628402724.0515777
466,1626739200000,705063264.1925838
467,1626825600000,721263963.2048446
468,1626912000000,873895770.7880119
469,1626998400000,790641612.3593249
470,1627084800000,785461335.3155379
471,1627171200000,766404454.5908313
472,1627257600000,841787700.4374385
473,1627344000000,1340501744.6504555
474,1627430400000,1104219762.5711966
475,1627516800000,1075176539.854905
476,1627603200000,862933013.580304
477,1627689600000,944668927.5380521
478,1627776000000,975842960.3697107
479,1627862400000,1069825279.2825546
480,1627948800000,1003122119.6952769
481,1628035200000,1026543466.207458
482,1628121600000,988493599.152252
483,1628208000000,1408669270.7305741
484,1628294400000,1135096616.1369457
485,1628380800000,1426871176.0993812
486,1628467200000,1503899332.7108762
487,1628553600000,1385050219.1843526
488,1628640000000,1204073106.7691078
489,1628726400000,2308261867.7372093
490,1628812800000,2373097381.7710423
491,1628899200000,1360615922.494432
492,1628985600000,1399490511.3570411
493,1629072000000,1446434999.7185872
494,1629158400000,1486304266.3457747
495,1629244800000,1163134410.6953962
496,1629331200000,942981284.1308385
497,1629417600000,1043591667.5639033
498,1629504000000,977265230.0311308
499,1629590400000,927230737.8900522
500,1629676800000,815329314.1906749
501,1629763200000,1152805093.9693198
502,1629849600000,1244886137.4659321
503,1629936000000,1072126835.504711
504,1630022400000,1109541354.0476544
505,1630108800000,1125086981.7137368
506,1630195200000,911664081.4683691
507,1630281600000,1103455271.2376635
508,1630368000000,1004782749.6040914
509,1630454400000,1379178624.6021547
510,1630540800000,1338861801.427057
511,1630627200000,1745078807.0327253
512,1630713600000,1942083624.9715867
513,1630800000000,1353529238.8955407
514,1630886400000,1350457104.6882606
515,1630972800000,1398401026.8883538
516,1631059200000,2171550694.9090414
517,1631145600000,3294345755.9272285
518,1631232000000,1564322116.919231
519,1631318400000,1773522749.7739072
520,1631404800000,1791083048.7477098
521,1631491200000,4294836558.1059623
522,1631577600000,3033611368.340398
523,1631664000000,3555707704.2127385
524,1631750400000,2402082650.9627547
525,1631836800000,2047413048.7449112
526,1631923200000,2416052199.4912844
527,1632009600000,1333673951.3225198
528,1632096000000,1114811770.5372975
529,1632182400000,2097365935.2745557
530,1632268800000,1770844743.237735
531,1632355200000,1476083311.0660102
532,1632441600000,1137678238.1390312
533,1632528000000,1559415387.5869412
534,1632614400000,1216973749.0869744
535,1632700800000,1468649349.4437022
536,1632787200000,1247473171.1570365
537,1632873600000,1195241842.3973405
538,1632960000000,1121902430.1055982
539,1633046400000,975275033.7576265
540,1633132800000,1180672462.4224572
541,1633219200000,959169144.2308829
542,1633305600000,993336551.6565074
543,1633392000000,1242528699.0685143
544,1633478400000,1868328830.023554
545,1633564800000,1770767122.2632537
546,1633651200000,1672386686.375429
547,1633737600000,1440005271.3174772
548,1633824000000,1811487832.6049798
549,1633910400000,1208472184.5723312
550,1633996800000,1084974461.2839544
551,1634083200000,1277122232.1957233
552,1634169600000,1248307749.7162101
553,1634256000000,1129886616.084923
554,1634342400000,1568145089.8815331
555,1634428800000,1056197685.1744752
556,1634515200000,1155296354.0317092
557,1634601600000,1098320416.4953833
558,1634688000000,1277506794.1882334
559,1634774400000,1809042148.3270962
560,1634860800000,1592088261.2033286
561,1634947200000,1409226530.9707515
562,1635033600000,1229596625.3544223
563,1635120000000,1231400062.7783659
564,1635206400000,1559123108.1552494
565,1635292800000,2599712266.654586
566,1635379200000,2095913148.005128
567,1635465600000,2607788658.5116086
568,1635552000000,2332746866.870401
569,1635638400000,2677170155.3881416
570,1635724800000,2482494898.0033627
571,1635811200000,1560107910.5964205
572,1635897600000,2481991618.641267
573,1635984000000,2512188260.2124186
574,1636070400000,1828198437.1194983
575,1636156800000,1521001066.1190126
576,1636243200000,1625368019.8946555
577,1636329600000,1626462562.214405
578,1636416000000,2352575771.324397
579,1636502400000,2803782851.54849
580,1636588800000,2898294866.551449
581,1636675200000,2156715929.80239
582,1636761600000,2222111100.6338773
583,1636848000000,2669517774.772698
584,1636934400000,2268282397.0031266
585,1637020800000,3245667582.8587456
586,1637107200000,2786173187.153168
587,1637193600000,2027620492.148677
588,1637280000000,1989239406.6874428
589,1637366400000,2369312037.1600113
590,1637452800000,2036723219.978972
591,1637539200000,2005959969.194109
592,1637625600000,2118601397.8070114
593,1637712000000,1900760510.8042543
594,1637798400000,1505875663.5238547
595,1637884800000,1369099291.778434
596,1637971200000,2471791482.36428
597,1638057600000,1718982160.5202441
598,1638144000000,2425848857.1202803
599,1638230400000,1833612008.0415597
600,1638316800000,2099466338.792728
601,1638403200000,2298257350.6474857
602,1638489600000,2042976155.105433
603,1638576000000,2269666040.778019
604,1638662400000,2567749082.160594
605,1638748800000,1555194802.5277975
606,1638835200000,2228571094.2235117
607,1638921600000,1523284513.615851
608,1639008000000,1439853453.632857
609,1639094400000,1108753827.354912
610,1639180800000,981391433.7327403
611,1639267200000,887374930.9116073
612,1639353600000,757238130.672755
613,1639440000000,929627081.6233153
614,1639526400000,1254333371.6147897
615,1639612800000,1353775852.0228682
616,1639699200000,1191913930.0852172
617,1639785600000,2119104391.5277
618,1639872000000,1033844407.4647987
619,1639958400000,701851627.5415741
620,1640044800000,1278697031.1030927
621,1640131200000,1040039112.8238431
622,1640217600000,933175183.7581284
623,1640304000000,1068958222.7097282
624,1640390400000,953514581.6377463
625,1640476800000,1169089899.8676465
626,1640563200000,985767882.7376249
627,1640649600000,967800269.5401679
628,1640736000000,1259123967.9364893
629,1640822400000,1227580506.7820952
630,1640908800000,1099372234.3045158
631,1640995200000,1170440136.489346
632,1641081600000,1084858727.3326735
633,1641168000000,1227473918.463449
634,1641254400000,1201238546.792717
635,1641340800000,1165972107.383606
636,1641427200000,1379417721.383836
637,1641513600000,1662405927.047125
638,1641600000000,1390917047.9438794
639,1641686400000,944627397.5628226
640,1641772800000,794171655.0143703
641,1641859200000,1083433184.4147213
642,1641945600000,901564639.1055635
643,1642032000000,710358565.8199073
644,1642118400000,926839958.2202471
645,1642204800000,1099320913.0722346
646,1642291200000,649753583.083913
647,1642377600000,701916185.4339432
648,1642464000000,1041494870.396601
649,1642550400000,969230487.073086
650,1642636800000,922268137.5461789
651,1642723200000,834153783.2455728
652,1642809600000,1296246342.3287237
653,1642896000000,1708233827.6315029
654,1642982400000,1097511853.0599306
655,1643068800000,1438543625.9074678
656,1643155200000,976424489.3589356
657,1643241600000,877213707.1853669
658,1643328000000,691996760.1973212
659,1643414400000,536887589.4674878
660,1643500800000,602442935.2960805
661,1643587200000,464344478.78235584
662,1643673600000,688555578.4878492
663,1643760000000,623934825.2238204
664,1643846400000,634696100.7559065
665,1643932800000,740284805.4844991
666,1644019200000,855003322.8095155
667,1644105600000,747173745.436152
668,1644192000000,562814468.8815484
669,1644278400000,777010353.2529938
670,1644364800000,1016045839.1554358
671,1644451200000,991860356.7666832
672,1644537600000,1006521204.6697961
673,1644624000000,1133001966.988374
674,1644710400000,892640661.3073082
675,1644796800000,794976108.7482257
676,1644883200000,686384760.7139214
677,1644969600000,708978142.5242265
678,1645056000000,691110915.8044595
679,1645142400000,871887044.4121445
680,1645228800000,729662719.8030758
681,1645315200000,632106420.9206908
682,1645401600000,690627775.3169665
683,1645488000000,873568220.6352081
684,1645574400000,773598639.8840843
685,1645660800000,763568710.8138322
686,1645747200000,954314125.294624
687,1645833600000,1089779226.743292
688,1645920000000,747407548.0086055
689,1646006400000,1152605365.4807398
690,1646092800000,808985002.4998729
691,1646179200000,636477316.7384039
692,1646265600000,568234233.2667983
693,1646352000000,663509982.3352157
694,1646438400000,768453698.7167302
695,1646524800000,747236112.3564208
696,1646611200000,773418724.0298239
697,1646697600000,866838303.0756549
698,1646784000000,1066851895.6364009
699,1646870400000,1209142655.0824578
700,1646956800000,1229076896.4841251
701,1647043200000,868332458.5866543
702,1647129600000,532890367.6534104
703,1647216000000,526861415.23917395
704,1647302400000,627821781.4097726
705,1647388800000,572573650.8486372
706,1647475200000,592061749.759347
707,1647561600000,406653591.41759074
708,1647648000000,481863674.3949786
709,1647734400000,538254595.7006634
710,1647820800000,696905438.2048665
711,1647907200000,719276598.7335675
712,1647993600000,790994963.0855192
713,1648080000000,688732763.5708911
714,1648166400000,742609945.8184283
715,1648252800000,709592825.4340721
716,1648339200000,867301399.8015418
717,1648425600000,1141462363.9340906
718,1648512000000,1030766792.3804218
719,1648598400000,890830314.6824042
720,1648684800000,1607307634.899821
721,1648771200000,1822112580.6868365
722,1648857600000,1003451041.0136352
723,1648944000000,929570315.2873576
724,1649030400000,871107479.6820884
725,1649116800000,1387861693.1481378
726,1649203200000,1400060210.6334274
727,1649289600000,1448266258.6879985
728,1649376000000,920992878.7146189
729,1649462400000,856759740.5779924
730,1649519815000,966231561.4313829
